Cod. Producto,Producto,Cod. U. Medida,Stock - STOCK CASA MATRIZ,Stock - STOCK SUCURSAL LA CHIMBA,Stock Total Consolidado,Costo Unit.,Costo Total
H800OT000007,LINTERNA MANUAL,UN,0.0,3.0,3.0,11719.0,35157.0
H800OT000011,CAJA  PORTA HERRAMIENTAS,UN,1.0,0.0,1.0,208898.92,208899.0
H800OT000012,CINTA AISLADORA NEGRA,UN,0.0,6.0,6.0,939.95,5640.0
H800OT000107,LIMA PLANA,UN,0.0,2.0,2.0,4346.65,8693.0
H800OT000108,LIMA REDONDA,UN,0.0,1.0,1.0,2577.39,2577.0
H800OTGO3M76,CINTA AUTOFUNDENTE DE GOMA 3M,UN,5.0,0.0,5.0,5398.67,26993.0
H800OTHALO02,FOCO HALOG. C/ATRIL DOBLE 500W,UN,7.0,0.0,7.0,46047.5,322332.0
H800OTHERR83,BOLSO PORTA HERRAMIENTAS,UN,2.0,0.0,2.0,35500.0,71000.0
H800OTLIJA83,LIJA AGUA,UN,230.0,6.0,236.0,500.0,118000.0
H800OTMANG56,MANGO PARA ESCOBILLONES,UN,0.0,10.0,10.0,24355.0,243550.0
H800OTPLA104,PLATACHO MADERA,UN,2.0,0.0,2.0,8596.64,17193.0
H800OTPLNN50,PALANQUETA 18IN/PATA CABRA-DIABLO,UN,2.0,0.0,2.0,3249.0,6498.0
H800OTRENN49,ACOPLE DE REMOLQUE,UN,1.0,0.0,1.0,17112.0,17112.0
H800OTSICANN,SISTEMA DE CARRO PARA PORTONES,UN,4.0,0.0,4.0,18495.0,73980.0
H800OTSNR031,"CHUMACERA UCF 208, SNR",UN,0.0,7.0,7.0,15975.0,111825.0
H800OTSTAN46,STANLEY PRENSA CARPINTERA 6 PULGADAS,UN,0.0,2.0,2.0,19.84,40.0
H800OTSTAN47,STANLEY PRENSA CARPINTERA 8 PULGADAS,UN,0.0,10.0,10.0,28.16,282.0
H800OTSTAN50,PRENSA CARPINTERA 10 PULGADAS,UN,0.0,2.0,2.0,6.0,12.0
H800OTSU3M75,CINTA AISLADORA ELECTRICA 3M,UN,9.0,0.0,9.0,1891.3,17022.0
H800OTTR47NN,TRIPOIDE DE MADERA,UN,3.0,0.0,3.0,50000.0,150000.0
H800OTVANN48,VALVULA AMORTIGUADOR DE GOLPE DE ARIETE 3/4,UN,1.0,0.0,1.0,26428.5,26428.0
H800OTYORK44,ESPATULA YORK 140MM,UN,0.0,20.0,20.0,3571.0,71420.0
H800RIELDUCA,RIEL DUCASSE COLG U 100 I 300 3 MTS,UN,4.0,0.0,4.0,18974.8,75899.0
