Cod. Producto,Producto,Stock Total - STOCK SUCURSAL LA CHIMBA,Stock Total - TERRENO,Disponible - STOCK SUCURSAL LA CHIMBA,Disponible - TERRENO,Stock Total Consolidado
IEN030NNNN00,"HUAWEI, INVERSOR ONGRIF TRIFASICO, 100KW, IP65, VERSION M2",0.1,0.9,0.1,0.9,1.0
IEN040NNNN00,"HUAWEI, INVERSOR HIBRIDO TRIFASICO, 50KW, IP65, VERSION 3M",1.0,0.0,1.0,0.0,1.0
IEN050NNNN00,"HUAWEI, SMART DONGLE WLAN-FE (10/100 MBIT PORT)",1.0,0.0,1.0,0.0,1.0
IGA32000NN01,GAS ATAL (MEZCLA),8.0,0.0,8.0,0.0,8.0
ILI0102016EL,PAPEL HIGIENICO 16 ROLLOS 20MT H/TRIPLE EL,16.0,0.0,16.0,0.0,16.0
ILI0105LTSKL,JABON LIQUIDO 5 LTS. ALMENDRA KLAREN,7.0,0.0,7.0,0.0,7.0
ILI010GUAN00,GUANTE DE LATEX AMARILLOS,3.0,0.0,3.0,0.0,3.0
ILI010INSE00,INSECTICIDA MATA MOSCAS 360CC. RAID,14.0,0.0,14.0,0.0,14.0
ILI010MOPA00,MOPA MICROFIBRA C/MANGO COMPLETA FIBRO,2.0,0.0,2.0,0.0,2.0
ILI030RVGONN,RENOVADOR DE GOMA TINTA VULK P/PNEUS,10.0,0.0,10.0,0.0,10.0
ILI050ESCOBR,ESCOBILLON EXTERIOR SCTOCH BRITE,18.0,0.0,18.0,0.0,18.0
ILI060507000,BOLSA DE BASURA 50 X 70,140.0,0.0,140.0,0.0,140.0
ILI060709000,BOLSA BASURA 70 X 90 CM,319.0,0.0,319.0,0.0,319.0
ILI060801200,BOLSAS DE BASURA 80 X 120,118.0,0.0,118.0,0.0,118.0
ILI080NNNN00,CLORO,2.0,0.0,2.0,0.0,2.0
ILI090NNNN00,CLORO GEL,19.0,0.0,19.0,0.0,19.0
ILI120NNNN00,DESINFECTANTE AMBIENTAL,11.0,0.0,11.0,0.0,11.0
ILI130NNNN00,DESODORANTE AMBIENTAL,11.0,0.0,11.0,0.0,11.0
ILI160NNNN00,ESCOBILLON,2.0,0.0,2.0,0.0,2.0
ILI170000400,ESPONJA CLASICA,10.0,0.0,10.0,0.0,10.0
ILI280NNNN00,LIMPIADOR PARA PISOS,1.0,0.0,1.0,0.0,1.0
ILISETPAMICR,SET PAÑO DE MICROFIBRA CUN1,9.0,0.0,9.0,0.0,9.0
IOT070ALPEMD,ALIMENTO PERRO ADULTO 18 KGS.  MASTER DOG,3.1,0.0,3.1,0.0,3.1
IOT100HS5049,RODAMIENTO MODELO HS5049B,1.0,0.0,1.0,0.0,1.0
IOT117180N00,RODILLO 180MM,50.0,0.0,50.0,0.0,50.0
IOT13100NN00,PISO PLASTICO COLORES,1.0,0.0,1.0,0.0,1.0
