Cod. Bodega,Bodega,Cod.Grupo,Grupo,Cod. Sub Grupo,Sub Grupo,Cod. Producto,Producto,Cod. U. Medida,Disponible,Reserva,Transitoria,Consignación,Stock Total,Costo Unit.,Costo Total,Archivo Origen
,,,,,,nan,,,,,,,,,,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR70117SCMK,BROCA ANULAR 17 MM,UN,1.0,0.0,0.0,0.0,1.0,27833.24,27833.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR70118SCMK,BROCA ANULAR 18 MM,UN,2.0,0.0,0.0,0.0,2.0,25718.54,51437.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR70121SC00,BROCA ANULAR 21 MM,UN,2.0,0.0,0.0,0.0,2.0,29981.88,59964.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR70130SCMK,BROCA ANULAR 30 MM,UN,1.0,0.0,0.0,0.0,1.0,48404.79,48405.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR70142SC00,BROCA ANULAR 42 MM,UN,1.0,0.0,0.0,0.0,1.0,119629.2,119629.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR70319SC00,BROCA SDS 19MM (HORMIGON),UN,1.0,0.0,0.0,0.0,1.0,16000.0,16000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR70322SC00,BROCA SDS 22MM (HORMIGON),UN,3.0,0.0,0.0,0.0,3.0,16000.0,48000.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR70322SC70,BROCA SDS 70MM  (HORMIGON),UN,1.0,0.0,0.0,0.0,1.0,322.0,322.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR71019SC00,BROCA CILINDRICA HSS 19 MM,UN,4.0,0.0,0.0,0.0,4.0,16300.0,65200.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR71022SC00,BROCA CILINDRICA HSS 22 MM,UN,1.0,0.0,0.0,0.0,1.0,16300.0,16300.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR71042SC00,BROCA CILINDRICA HSS 42 MM,UN,1.0,0.0,0.0,0.0,1.0,28451.0,28451.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR71101NN00,FLUIDO DE CORTE TAP MATIC- 500 CC,UN,9.0,0.0,0.0,0.0,9.0,19757.91,177821.0,SM_STOCK CASA MATRIZ.xlsx
SM,STOCK CASA MATRIZ,127,HERRAMIENTAS,BC,BROCA,IBR713050000,BROCA HSS REBAJADA 7/8in,UN,3.0,0.0,0.0,0.0,3.0,82226.9,246681.0,SM_STOCK CASA MATRIZ.xlsx
